"countryCode","regionCode","accentedName","plainName"
"AD",6,"Sant Julià de Loria","Sant Julia de Loria"
"AD",5,"Ordino","Ordino"
"AD",4,"La Massana","La Massana"
"AD",3,"Encamp","Encamp"
"AD",2,"Canillo","Canillo"
"AD",7,"Andorra la Vella","Andorra la Vella"
"AD",8,"Escaldes-Engordany","Escaldes-Engordany"
"AE",7,"Umm al Qaywayn","Umm al Qaywayn"
"AE",5,"Raʼs al Khaymah","Ra's al Khaymah"
"AE",3,"Dubai","Dubai"
"AE",6,"Ash Shāriqah","Ash Shariqah"
"AE",4,"Al Fujayrah","Al Fujayrah"
"AE",2,"Ajman","Ajman"
"AE",1,"Abu Dhabi","Abu Dhabi"
"AF",28,"Zabul","Zabul"
"AF",27,"Vardak","Vardak"
"AF",26,"Takhar","Takhar"
"AF",33,"Sar-e Pol","Sar-e Pol"
"AF",32,"Samangan","Samangan"
"AF",40,"Parwan","Parwan"
"AF",29,"Paktika","Paktika"
"AF",36,"Paktia","Paktia"
"AF",39,"Oruzgan","Oruzgan"
"AF",19,"Nimroz","Nimroz"
"AF",18,"Nangarhar","Nangarhar"
"AF",17,"Logar","Logar"
"AF",35,"Laghman","Laghman"
"AF",24,"Kunduz","Kunduz"
"AF",34,"Kunar","Kunar"
"AF",14,"Kapisa","Kapisa"
"AF",23,"Kandahar","Kandahar"
"AF",13,"Kabul","Kabul"
"AF",31,"Jowzjan","Jowzjan"
"AF",11,"Herat","Herat"
"AF",10,"Helmand","Helmand"
"AF",9,"Ghowr","Ghowr"
"AF",8,"Ghazni","Ghazni"
"AF",7,"Faryab","Faryab"
"AF",6,"Farah","Farah"
"AF",5,"Bamyan","Bamyan"
"AF",30,"Balkh","Balkh"
"AF",3,"Baghlan","Baghlan"
"AF",2,"Badghis","Badghis"
"AF",1,"Badakhshan","Badakhshan"
"AF",37,"Khowst","Khowst"
"AF",38,"Nuristan","Nuristan"
"AF",41,"Daykundi","Daykundi"
"AF",42,"Panjshir","Panjshir"
"AG",8,"Saint Philip","Saint Philip"
"AG",7,"Saint Peter","Saint Peter"
"AG",6,"Saint Paul","Saint Paul"
"AG",5,"Saint Mary","Saint Mary"
"AG",4,"Saint John","Saint John"
"AG",3,"Saint George","Saint George"
"AG",9,"Redonda","Redonda"
"AG",1,"Barbuda","Barbuda"
"AI",11205389,"Blowing Point","Blowing Point"
"AI",11205392,"Sandy Ground","Sandy Ground"
"AI",11205393,"Sandy Hill","Sandy Hill"
"AI",11205396,"The Valley","The Valley"
"AI",11205433,"East End","East End"
"AI",11205436,"North Hill","North Hill"
"AI",11205437,"West End","West End"
"AI",11205438,"South Hill","South Hill"
"AI",11205439,"The Quarter","The Quarter"
"AI",11205440,"North Side","North Side"
"AI",11205441,"Island Harbour","Island Harbour"
"AI",11205442,"George Hill","George Hill"
"AI",11205443,"Stoney Ground","Stoney Ground"
"AI",11205444,"The Farrington","The Farrington"
"AL",40,"Berat","Berat"
"AL",41,"Dibër","Diber"
"AL",43,"Elbasan","Elbasan"
"AL",45,"Gjirokastër","Gjirokaster"
"AL",46,"Korçë","Korce"
"AL",47,"Kukës","Kukes"
"AL",42,"Durrës","Durres"
"AL",44,"Fier","Fier"
"AL",48,"Lezhë","Lezhe"
"AL",49,"Shkodër","Shkoder"
"AL",50,"Tiranë","Tirane"
"AL",51,"Vlorë","Vlore"
"AM",2,"Ararat","Ararat"
"AM",8,"Syunik","Syunik"
"AM",10,"Vayots Dzor","Vayots Dzor"
"AM",11,"Yerevan","Yerevan"
"AM",1,"Aragatsotn","Aragatsotn"
"AM",3,"Armavir","Armavir"
"AM",4,"Gegharkunik","Gegharkunik"
"AM",5,"Kotayk","Kotayk"
"AM",6,"Lori","Lori"
"AM",7,"Shirak","Shirak"
"AM",9,"Tavush","Tavush"
"AO",18,"Lunda Sul","Lunda Sul"
"AO",17,"Luanda Norte","Luanda Norte"
"AO",14,"Moxico","Moxico"
"AO",4,"Cuando Cobango","Cuando Cobango"
"AO",16,"Zaire","Zaire"
"AO",15,"Uíge","Uige"
"AO",12,"Malanje","Malanje"
"AO",20,"Luanda","Luanda"
"AO",5,"Cuanza Norte","Cuanza Norte"
"AO",3,"Cabinda","Cabinda"
"AO",19,"Bengo","Bengo"
"AO",13,"Namibe","Namibe"
"AO",9,"Huíla","Huila"
"AO",8,"Huambo","Huambo"
"AO",7,"Cunene","Cunene"
"AO",6,"Kwanza Sul","Kwanza Sul"
"AO",2,"Bíe","Bie"
"AO",1,"Benguela","Benguela"
"AR",14,"Misiones","Misiones"
"AR",9,"Formosa","Formosa"
"AR",7,"Buenos Aires F.D.","Buenos Aires F.D."
"AR",8,"Entre Rios","Entre Rios"
"AR",6,"Corrientes","Corrientes"
"AR",1,"Buenos Aires","Buenos Aires"
"AR",24,"Tucuman","Tucuman"
"AR",23,"Tierra del Fuego","Tierra del Fuego"
"AR",22,"Santiago del Estero","Santiago del Estero"
"AR",21,"Santa Fe","Santa Fe"
"AR",20,"Santa Cruz","Santa Cruz"
"AR",19,"San Luis","San Luis"
"AR",18,"San Juan","San Juan"
"AR",17,"Salta","Salta"
"AR",16,"Rio Negro","Rio Negro"
"AR",15,"Neuquen","Neuquen"
"AR",13,"Mendoza","Mendoza"
"AR",12,"La Rioja","La Rioja"
"AR",11,"La Pampa","La Pampa"
"AR",10,"Jujuy","Jujuy"
"AR",5,"Cordoba","Cordoba"
"AR",4,"Chubut","Chubut"
"AR",3,"Chaco","Chaco"
